Author,final_sentiment
@Jゴ2,unknown
@J민-h4y,SAMSUNG
@J양-l9금-떡방-f2n,unknown
@J최유성,SAMSUNG
@K.Y-p9m,KIA
@K.하쿠,SAMSUNG
@KAESUNG5,SAMSUNG
@KANG-HYUN1103,SAMSUNG
@KD-xj7bt,SAMSUNG
@KDL-t3u,unknown
@KDX1945,SAMSUNG
@KHJune,SAMSUNG
@KHkim-uf9kn,KIA
@KH인드,KIA
@KIATIGERS-V12,KIA
@KIA_Fighting_no.1,KIA
@KIAhomerunball,KIA
@KIA와첼시,KIA
@KIM-gz1qz,KIA
@KIMDO0000-TIGER,KIA
@KIMYAONG,KIA
@KING-vt5zl,KIA
@KJHan-or8ks,KIA
@KJYcarAdsby김진영,KIA
@KK-nf5gd,KIA
@KKK-wk5fm,KIA
@KKKOTMINAM,KIA
@KKkkkkk-m6i,KIA
@KR97ESQ,KIA
@KS-ci9cu,SAMSUNG
@KS-qx6qm,KIA
@KSH-p5k,SAMSUNG
@KSS8041,KIA
@KT-yq6yz,unknown
@Kangsuwon15,SAMSUNG
@Karneva,unknown
@Kate.chun00,SAMSUNG
@Kawaii_gardevoir,unknown
@Kazuba2022,KIA
@Kcm-c7c,unknown
@Kellyshin0716,SAMSUNG
@Kevintv85,SAMSUNG
@Keyring323,KIA
@KhKim-u2j,SAMSUNG
@Khan-gh9lt,unknown
@KiaAAAAAaalll,KIA
@KiaLove8686,KIA
@Kiakiakialove,unknown
@Kihyunjjokjjok,unknown
@Kiki041,unknown
@Kikifowler,KIA
@Kim-rg3gg,SAMSUNG
@Kim-wl8bh,KIA
@Kim-xh7yt,KIA
@Kim-yb8dr,KIA
@KimHuynMin,unknown
@Kimchi_season_leader,SAMSUNG
@Kimhaeun66,SAMSUNG
@Kimjune195,SAMSUNG
@Kims.e,KIA
@King-1233-h9p,unknown
@Kio9ioio,unknown
@KirapipiNene,KIA
@Kiss-h3s,SAMSUNG
@Kkaw_Kkaw,unknown
@Kkk-tt8xg,SAMSUNG
@Kkkkk-m9f,KIA
@Kkm-n1j,unknown
@Kku_cha,unknown
@Kkyle2048,SAMSUNG
@KlATIGERS,KIA
@KlAtigersV12,unknown
@Klistas0417,KIA
@KmY-xk7eq,SAMSUNG
@KoReA23613,unknown
@Korea-o1y,unknown
@KoreaBinibin,KIA
@Koreabaseballl_official,KIA
@KoreanFighter,SAMSUNG
@KoreanGangsterParrot,SAMSUNG
@Kostaro924,KIA
@Kui0000-g5b,KIA
@Kunnykun82,KIA
@Kuuu-c9p,KIA
@KvivaW,SAMSUNG
@Kwonsiuuuu,unknown
@KxJxM,unknown
@KySi0115,SAMSUNG
@Kyokyo948,unknown
@KyuRiMON,SAMSUNG
@KyuiICho-i7p,unknown
@K별-w6f,unknown
@L58741,unknown
@LANDERS14,KIA
@LARRY.....,KIA
@LEE-fm3hm,SAMSUNG
@LEE-ih8mu,KIA
@LEE-lee-15,SAMSUNG
@LIONS-o6g,SAMSUNG
@LODENGAME,KIA
@LOVE-TANKER,SAMSUNG
@LOWELLRYAN,KIA
@LUV-kh8zx,KIA
@LaaSii00,unknown
@Labruge,unknown
@Lajdje,KIA
@Lalelaala,SAMSUNG
@LangDawg2003,KIA
@Lasu-gp7ew,unknown
@Laura35295,KIA
@Lauraaa6666,SAMSUNG
@LaurelRegal,unknown
@LazyCS_KOR,KIA
@Leadvina,KIA
@Leah-e9p,SAMSUNG
@LeahJanice-e7n,unknown
@Lebronthekingshai,SAMSUNG
@Lee-e4o2u,SAMSUNG
@Lee-hg4jm,SAMSUNG
@Lee-it4ym,KIA
@Lee-ok6ti,KIA
@Lee-q8d7g,unknown
@Lee-qo1yy,KIA
@Lee-un9wp,KIA
@Lee-uy6hr,SAMSUNG
@Lee-wj5iv,KIA
@Lee-y4v,SAMSUNG
@LeeFreya-z6t,SAMSUNG
@LeeHeeseoTV,unknown
@LeeJangGoon,KIA
@LeeJun8338,KIA
@LeeSH-j4t,SAMSUNG
@Leee-s9e,unknown
@Leejeno650,SAMSUNG
@Leekangsan96,SAMSUNG
@Lemon_tree_1,unknown
@Lenda_1713,KIA
@Lenvus,KIA
@Let-q2b,KIA
@Lets_kill_wild_boar,KIA
@Lht-si3yu,KIA
@LiberTeen98,KIA
@Lillidsrtg,KIA
@Lily-f1m2b,KIA
@LindsayDerek-z8t,unknown
@LionelMessi-mz7jk,unknown
@Lions3041,SAMSUNG
@Lions_100,SAMSUNG
@Lions_1116,SAMSUNG
